firstName,lastName,birthYear,birthMon,birthDay,shootCatch,pos,birthCountry,birthState,birthCity,height,weight
Mike,Amodeo,1952,6,22,L,D,Canada,ON,Toronto,70,190
Tony,Amonte,1970,8,2,L,R,USA,MA,Hingham,72,200
Bill,Anderson,1912,12,13,R,D,Canada,ON,Tillsonburg,72,190
Craig,Anderson,1981,5,21,L,G,USA,IL,Park Ridge,74,180
Dale,Anderson,1932,3,5,L,D,Canada,SK,Regina,75,190
Doug,Anderson,1927,10,20,L,C,Canada,AB,Edmonton,67,157
Earl,Anderson,1951,2,24,R,R,USA,MN,Roseau,73,185
Erik,Andersson,1971,8,19,L,L,Sweden,NM,Stockholm,75,210
Jim,Anderson,1930,12,1,L,L,Canada,ON,Pembroke,70,165
John,Anderson,1957,3,28,R,L,Canada,ON,Toronto,71,200
Jonas,Andersson,1981,2,24,L,R,Sweden,NO,Stockholm,74,202
Kent-Erik,Andersson,1951,5,24,R,R,Sweden,NH,Orebro,74,185
Lorne,Anderson,1931,7,26,L,G,Canada,ON,Renfrew,71,166
Mikael,Andersson,1966,5,10,L,L,Sweden,JY,Malmo,71,181
Murray,Anderson,1949,8,28,L,D,Canada,MB,The Pas,70,175
Niklas,Andersson,1971,5,20,L,L,Sweden,HD,Kungalv,69,180
Perry,Anderson,1961,10,14,L,L,Canada,ON,Barrie,73,225
Peter,Andersson,1962,3,2,R,D,Sweden,RE,Federtalve,74,200
Peter,Andersson,1965,8,29,L,D,Sweden,SS,Orebro,72,196
Ron,Anderson,1945,7,29,R,R,Canada,AB,Red Deer,72,170
Ron,Anderson,1950,1,21,R,R,Canada,NB,Moncton,70,165
Russ,Anderson,1955,2,12,L,D,USA,MN,Minneapolis,75,210
Shawn,Anderson,1968,2,7,L,D,Canada,QC,Montreal,73,200
Steve,Andrascik,1948,11,6,R,R,Canada,MB,Sherridon,71,200
Dave,Andreychuk,1963,9,29,R,L,Canada,ON,Hamilton,76,220
Lloyd,Andrews,1899,11,4,L,L,Canada,ON,Tilsonburg,68,155
Paul,Andrea,1941,7,31,L,R,Canada,NS,North Sydney,70,174
Alexander,Andrievski,1968,8,10,R,R,Belarus,SN,Minsk,77,211
Greg,Andrusak,1969,11,14,R,D,Canada,BC,Cranbrook,73,195
Ron,Andruff,1953,7,10,R,C,Canada,BC,Chemainus,72,185
Mel,Angelstad,1972,10,31,L,L,Canada,SK,Saskatoon,74,214
Lou,Angotti,1938,1,16,R,C,Canada,ON,Toronto,69,170
Darrel,Anholt,1962,11,23,L,D,Canada,AB,Hardisty,74,230
Artem,Anisimov,1988,5,24,L,C,Russia,BG,Yaroslavl,75,190
Hub,Anslow,1926,3,23,L,L,Canada,ON,Pembroke,72,173
Mike,Antonovich,1951,10,18,L,C,USA,MN,Calumet,68,155
Shawn,Antoski,1970,3,25,L,L,Canada,ON,Brantford,76,235
Amos,Arbour,1895,1,26,L,L,Canada,ON,Waubaushene,68,160
Jack,Arbour,1897,3,7,L,D,Canada,ON,Waubaushene,68,172
John,Arbour,1945,9,28,L,D,Canada,ON,Niagara Falls,71,195
Ty,Arbour,1896,6,29,L,L,Canada,ON,Waubaushene,67,160
Michel,Archambault,1950,9,27,L,L,Canada,QC,St. Hyacinthe,68,160
Dave,Archibald,1969,4,14,L,C,Canada,BC,Chilliwack,73,210
Jim,Archibald,1961,6,6,R,R,Canada,SK,Craik,71,175
Ron,Areshenkoff,1957,6,13,L,C,Canada,BC,Grand Forks,72,175
Bill,Armstrong,1966,6,25,L,C,Canada,ON,London,74,195
Bob,Armstrong,1931,4,7,R,D,Canada,ON,Toronto,73,190
Chris,Armstrong,1975,6,26,L,D,Canada,SK,Regina,72,205
Colby,Armstrong,1982,11,23,R,R,Canada,BC,Lloydminster,74,188
Derek,Armstrong,1973,4,23,R,C,Canada,ON,Ottawa,72,190
Norm,Armstrong,1938,10,17,L,D/L,Canada,ON,Own Sound,71,205
Riley,Armstrong,1984,11,8,R,R,Canada,SK,Saskatoon,71,185
Tim,Armstrong,1967,5,12,R,C,Canada,ON,Toronto,71,170
Chuck,Arnason,1951,7,15,R,R,Canada,MB,Ashern,70,183
Tyler,Arnason,1979,3,16,L,C,USA,OK,Oklahoma City,71,204
Scott,Arniel,1962,9,17,L,L,Canada,ON,Kingston,73,188
Jason,Arnott,1974,10,11,R,C,Canada,ON,Collingwood,76,220
Fred,Arthur,1961,3,6,L,D,Canada,ON,Toronto,77,210
Evgeny,Artyukhin,1983,4,4,L,R,Russia,FT,Moscow,77,254
John,Arundel,1927,11,4,L,D,Canada,MB,Winnipeg,71,181
Magnus,Arvedson,1971,11,25,L,L,Sweden,TR,Karlstad,74,198
Arron,Asham,1978,4,13,R,R,Canada,MB,Portage la Prairie,71,210
Barry,Ashbee,1939,7,28,R,D,Canada,ON,Weston,70,180
Don,Ashby,1955,3,8,L,C,Canada,BC,Kamloops,73,185
Brent,Ashton,1960,5,18,L,L,Canada,SK,Saskatoon,73,210
Frank,Ashworth,1927,10,16,L,C,Canada,SK,Moose Jaw,68,155
Tom,Askey,1974,10,4,L,G,USA,NY,Tonawanda,73,195
Oscar,Asmundson,1908,11,17,R,C,Canada,AB,Red Deer,71,170
Kaspars,Astashenko,1975,2,17,L,D,Latvia,TE,Riga,74,183
Mark,Astley,1969,3,30,L,D,Canada,AB,Calgary,71,185
Hardy,Astrom,1951,3,29,L,G,Sweden,EW,Skelleftea,72,170
Walt,Atanas,1922,12,22,R,R,Canada,ON,Hamilton,68,174
Blair,Atcheynum,1969,4,20,R,R,Canada,SK,Estevan,74,198
Steve,Atkinson,1948,10,16,R,R,Canada,ON,Toronto,71,170
Bob,Attwell,1959,12,26,R,R,USA,WA,Spokane,72,192
Ron,Attwell,1935,2,9,R,R,Canada,ON,Humber Summit,72,185
Jean-Sebastien,Aubin,1977,7,19,R,G,Canada,QC,Montreal,71,180
Norm,Aubin,1960,7,26,L,C,Canada,QC,St. Leonard,72,185
Serge,Aubin,1975,2,15,L,C,Canada,QC,Val d'Or,73,200
Pierre,Aubry,1960,4,15,L,C,Canada,QC,Cap-de-la-Madeleine,70,170
Ossie,Aubuchon,1917,1,1,L,L,Canada,QC,St. Hyacinthe,70,175
Adrian,Aucoin,1973,7,3,R,D,Canada,ON,Ottawa,74,215
Keith,Aucoin,1978,11,6,R,C,USA,MA,Waltham,69,187
Donald,Audette,1969,9,23,R,R,Canada,QC,Laval,68,190
Philippe,Audet,1977,6,4,L,L,Canada,ON,Ottawa,74,202
Les,Auge,1953,5,16,L,D,USA,MN,St. Paul,73,190
Patrik,Augusta,1969,11,13,L,R,Czech Republic,WQ,Jihlava,70,170
Alex,Auld,1981,1,7,L,G,Canada,AB,Cold Lake,76,200
Jared,Aulin,1982,3,15,R,C,Canada,AB,Calgary,72,192
Larry,Aurie,1905,2,8,R,R,Canada,ON,Sudbury,66,148
Sean,Avery,1980,4,10,L,C,Canada,ON,North York,70,195
Don,Awrey,1943,7,18,L,D,Canada,ON,Kitchener,72,175
P.J.,Axelsson,1975,2,26,L,L,Sweden,RT,Kungalv,73,175
Vern,Ayres,1909,4,27,L,D,Canada,ON,Toronto,74,220
Pete,Babando,1925,5,10,L,L,Canada,ON,South Porcupine,69,187
Anton,Babchuk,1984,5,6,R,D,Ukraine,YH,Kiev,77,212
Bobby,Babcock,1968,8,3,L,D,Canada,ON,Agincourt,73,222
Yuri,Babenko,1978,1,2,L,C,Russia,HJ,Penza,73,200
Warren,Babe,1968,9,7,L,L,Canada,AB,Medicine Hat,74,190
Mitch,Babin,1954,11,1,L,C,Canada,ON,Kapuskasing,74,195
Dave,Babych,1961,5,23,L,D,Canada,AB,Edmonton,74,215
Wayne,Babych,1958,6,6,R,R,Canada,AB,Edmonton,71,191
John,Baby,1957,5,18,R,D,Canada,ON,Sudbury,72,195
Jergus,Baca,1965,1,4,L,D,Slovakia,GT,Liptovsky Mikulas,74,211
Jason,Bacashihua,1982,9,20,L,G,USA,MI,Garden City,71,177
Ryan,Bach,1973,10,21,L,G,Canada,AB,Sherwood Park,73,185
David,Backes,1984,5,1,R,R,USA,MN,Blaine,75,225
Mikael,Backlund,1989,3,17,L,C,Sweden,TN,Vasteras,72,194
Christian,Backman,1980,4,28,L,D,Sweden,GT,Alingsas,76,206
Mike,Backman,1955,1,2,R,R,Canada,NS,Halifax,70,175
Pete,Backor,1919,4,29,L,D,Canada,ON,Fort William,72,190
Niklas,Backstrom,1978,2,13,L,G,Finland,GH,Helsinki,74,196
Nicklas,Backstrom,1987,11,23,L,C,Sweden,HH,Gavle,72,183
Ralph,Backstrom,1937,9,18,L,C,Canada,ON,Kirkland Lake,70,165
Ace,Bailey,1903,7,3,R,R,Canada,ON,Bracebridge,70,160
Bob,Bailey,1931,5,29,R,R,Canada,ON,Kenora,71,180
Garnet,Bailey,1948,6,13,L,L,Canada,SK,Lloydminster,71,192
Josh,Bailey,1989,10,2,L,C,Canada,ON,Oshawa,73,188
Reid,Bailey,1956,5,28,L,D,Canada,ON,Toronto,74,200
Scott,Bailey,1972,5,2,L,G,Canada,AB,Calgary,72,195
Joel,Baillargeon,1964,10,6,L,L,Canada,QC,Charlesbourg,73,205
Ken,Baird,1951,2,1,L,D,Canada,MB,Flin Flon,72,190
Bill,Baker,1956,11,29,L,D,USA,MN,Grand Rapids,73,195
Jamie,Baker,1966,8,31,L,C,Canada,ON,Nepean,72,195
Steve,Baker,1957,5,6,L,G,USA,MA,Boston,75,200
Peter,Bakovic,1965,1,31,R,L,Canada,ON,Thunder Bay,74,200
Chris,Bala,1978,9,24,L,L,USA,VA,Alexandria,73,196
Jaroslav,Balastik,1979,11,28,L,L,Czech Republic,HJ,Gottwaldov,74,205
Helmut,Balderis,1952,6,30,R,R,Latvia,JI,Riga,71,190
Doug,Baldwin,1922,11,2,L,D,Canada,MB,Winnipeg,72,175
Jozef,Balej,1982,2,22,R,R,Slovakia,KI,Myjava,73,195
Mike,Bales,1971,8,6,L,G,Canada,SK,Prince Albert,73,200
Earl,Balfour,1933,1,4,L,L,Canada,ON,Toronto,73,180
Murray,Balfour,1936,8,24,R,R,Canada,SK,Regina,69,178
Keith,Ballard,1982,11,26,L,D,USA,MN,Baudette,71,208
Terry,Ball,1944,11,29,R,D,Canada,MB,Selkirk,69,160
Maxim,Balmochnykh,1979,3,7,L,L,Russia,KK,Lipetsk,73,210
Dave,Balon,1938,8,2,L,L,Canada,SK,Wakaw,70,180
Bryon,Baltimore,1952,8,26,R,D,Canada,YT,Whitehorse,74,190
Stan,Baluik,1935,10,5,L,C,Canada,ON,Port Arthur,68,160
Steve,Bancroft,1970,10,6,L,D,Canada,ON,Toronto,73,214
Jeff,Bandura,1957,2,4,R,D,Canada,BC,White Rock,73,195
Frank,Banham,1975,4,14,R,R,Canada,AB,Calahoo,72,190
Darren,Banks,1966,3,18,L,L,Canada,ON,Toronto,74,215
Murray,Bannerman,1957,4,27,L,G,Canada,ON,Ft. Frances,71,185
Drew,Bannister,1974,9,4,R,D,Canada,ON,Belleville,74,200
Ralph,Barahona,1965,11,16,L,C,USA,CA,Long Beach,70,180
Ivan,Baranka,1985,5,19,L,D,Slovakia,UJ,Ilva,75,205
Andy,Barbe,1923,7,27,R,R,Canada,ON,Coniston,72,170
Bill,Barber,1952,7,11,L,L,Canada,ON,Callander,72,195
Don,Barber,1964,12,2,L,L,Canada,BC,Victoria,74,205
Krys,Barch,1980,3,26,L,R,Canada,ON,Hamilton,74,200
Bill,Barilko,1927,3,25,L,D,Canada,ON,Timmins,71,180
Michal,Barinka,1984,6,12,L,D,Czech Republic,JK,Vyskov,75,217
Cam,Barker,1986,4,4,L,D,Canada,MB,Winnipeg,75,222
Doug,Barkley,1937,1,6,R,D,Canada,AB,Lethbridge,74,185
Bob,Barlow,1935,6,17,L,L,Canada,ON,Hamilton,70,165
Matthew,Barnaby,1973,5,4,L,R,Canada,ON,Ottawa,72,189
Blair,Barnes,1960,9,21,R,R,Canada,ON,Windsor,71,190
Norm,Barnes,1953,8,24,L,D,Canada,ON,Toronto,72,190
Ryan,Barnes,1980,1,30,L,L,Canada,ON,Dunnville,73,201
Scott,Barney,1979,3,27,R,C,Canada,ON,Oshawa,76,210
Stu,Barnes,1970,12,25,R,C,Canada,AB,Spruce Grove,71,180
Marco,Baron,1959,4,8,L,G,Canada,QC,Montreal,71,180
Murray,Baron,1967,6,1,L,D,Canada,BC,Prince George,75,215
Normand,Baron,1957,12,15,L,L,Canada,QC,Verdun,72,205
Doug,Barrault,1970,4,21,R,R,Canada,BC,Golden,74,205
Tom,Barrasso,1965,3,31,R,G,USA,MA,Boston,75,210
Dave,Barr,1960,11,30,R,R,Canada,ON,Toronto,73,195
Fred,Barrett,1950,1,26,L,D,Canada,ON,Ottawa,71,195
John,Barrett,1958,7,1,L,D,Canada,ON,Ottawa,73,210
Doug,Barrie,1946,10,2,R,D,Canada,AB,Edmonton,69,175
Len,Barrie,1969,6,4,L,C,Canada,BC,Kimberley,72,200
Ed,Barry,1919,10,12,L,D,USA,MA,Wellesley,70,180
Marty,Barry,1905,12,8,L,C,Canada,QC,Quebec,71,175
Ray,Barry,1928,10,4,L,C,USA,MA,Revere,71,170
Lubos,Bartecko,1976,7,14,L,L,Slovakia,JK,Kezmarok,71,200
Robin,Bartel,1961,5,16,L,D,Canada,SK,Drake,72,200
Jim,Bartlett,1932,5,27,L,L,Canada,QC,Verdun,69,165
Cliff,Barton,1907,9,3,R,R,USA,MI,Sault Ste. Marie,67,155
Milan,Bartovic,1981,4,9,L,R,Slovakia,HJ,Trencin,71,200
Peter,Bartos,1973,9,5,R,L,Czech Republic,JK,Martin,72,185
Andrei,Bashkirov,1970,6,22,L,L,Russia,JH,Shelehov,72,215
Cody,Bass,1987,1,7,R,C,Canada,ON,Owen Sound,72,206
Bob,Bassen,1965,5,6,L,C,Canada,AB,Calgary,70,185
Hank,Bassen,1932,12,6,L,G,Canada,AB,Calgary,70,180
Baz,Bastien,1919,8,29,L,G,Canada,ON,Timmins,67,160
Ryan,Bast,1975,8,27,L,D,Canada,SK,Regina,74,190
Shawn,Bates,1975,4,3,R,C,USA,MA,Melrose,72,210
Frank,Bathe,1954,9,27,L,D,Canada,ON,Oshawa,73,185
Andy,Bathgate,1932,8,28,R,R,Canada,MB,Winnipeg,72,180
Frank,Bathgate,1930,2,14,R,C,Canada,MB,Winnipeg,70,162
Bates,Battaglia,1975,12,13,L,L,USA,IL,Chicago,74,205
Jeff,Batters,1970,10,23,R,D,Canada,BC,Victoria,74,215
Ruslan,Batyrshin,1975,2,19,L,D,Russia,MN,Moscow,73,185
Bobby,Bauer,1915,2,16,R,R,Canada,ON,Waterloo,66,150
Gary,Bauman,1940,7,21,L,G,Canada,AB,Innisfail,71,175
Ken,Baumgartner,1966,3,11,L,L,Canada,MB,Flin Flon,73,205
Mike,Baumgartner,1949,1,30,L,D,USA,MN,Roseau,74,195
Nolan,Baumgartner,1976,3,23,R,D,Canada,AB,Calgary,74,205
Bob,Baun,1936,9,9,R,D,Canada,SK,Lanigan,69,175
Sergei,Bautin,1967,3,11,L,D,Belarus,MN,Rogachev,75,200
Robin,Bawa,1966,3,26,R,R,Canada,BC,Duncan,74,214
Paul,Baxter,1955,10,28,R,D,Canada,MB,Winnipeg,71,200
Ryan,Bayda,1980,12,9,L,L,Canada,SK,Saskatoon,71,185
Sandy,Beadle,1960,7,12,L,L,Canada,SK,Regina,74,185
Jay,Beagle,1985,10,16,R,C,Canada,AB,Calgary,75,208
Frank,Beaton,1953,4,28,L,L,Canada,NS,Antigonish,70,200
Red,Beattie,1907,10,2,L,L,England,MK,Ibstock,69,170
Francois,Beauchemin,1980,6,4,L,D,Canada,QC,Sorel,72,210
Eric,Beaudoin,1980,5,3,L,L,Canada,ON,Ottawa,77,210
Norm,Beaudin,1941,11,28,R,R,Canada,SK,Montmartre,69,170
Serge,Beaudoin,1952,11,30,L,D,Canada,QC,Montreal,74,215
Yves,Beaudoin,1965,1,7,R,D,Canada,QC,Pointe-aux-Trembles,71,180
Mark,Beaufait,1970,5,13,R,C,USA,MI,Royal Oak,69,170
Don,Beaupre,1961,9,19,L,G,Canada,ON,Kitchener,70,172
Stephane,Beauregard,1968,1,10,R,G,Canada,QC,Cowansville,71,190
Barry,Beck,1957,6,3,L,D,Canada,BC,Vancouver,75,216
Bob,Beckett,1936,4,8,L,C,Canada,ON,Unionville,72,185
Chris,Beckford-Tseu,1984,6,22,L,G,Canada,ON,Toronto,74,201
James,Bedard,1927,11,19,L,D,Canada,SK,Admiral,72,180
Jim,Bedard,1956,11,14,L,G,Canada,ON,Niagara Falls,70,181
Clayton,Beddoes,1970,11,10,L,C,Canada,AB,Bentley,71,190
Jaroslav,Bednar,1976,11,8,R,R,Czech Republic,JK,Prague,72,198
John,Bednarski,1952,7,4,L,D,Canada,ON,Thunder Bay,70,195
Kris,Beech,1981,2,5,L,C,Canada,BC,Salmon Arm,75,211
Bob,Beers,1967,5,20,R,D,USA,PA,Pittsburgh,74,200
Eddy,Beers,1959,10,12,L,L,Canada,BC,Merritt,74,195
Steve,Begin,1978,6,14,L,C,Canada,QC,Trois-Rivieres,72,193
Dick,Behling,1915,3,16,R,D,Canada,ON,Kitchener,73,195
Marc,Behrend,1961,1,11,L,G,USA,WI,Madison,73,180
Frank,Beisler,1913,10,18,L,D,USA,CT,New Haven,74,190
Derek,Bekar,1975,9,15,L,L,Canada,BC,Burnaby,75,197
Wade,Belak,1976,7,3,R,D,Canada,SK,Saskatoon,77,221
Alain,Belanger,1956,1,18,R,R,Canada,QC,St. Janvier,73,190
