firstName,lastName,pos,college,birthDate,birthCity,birthState,hsCity,hsState,race,height,weight
Lucius,Allen,G,UCLA,9/26/47,Kansas City,KS,Kansas City,KS,B,74,175
Malik,Allen,F,Villanova,6/27/78,Willingboro,NJ,Medford,NJ,B,82,255
Lance,Allred,C,Weber State,2/2/81,Salt Lake City,UT,Salt Lake City,UT,W,83,250
Darrell,Allums,F,UCLA,9/12/58,Los Angeles,CA,Lynwood,CA,B,80.5,220
Morris,Almond,G,Rice,2/2/85,Dalton,GA,Powder Springs,GA,B,78,215
Derrick,Alston,F,Duquesne,8/20/72,Bronx,NY,Hoboken,NJ,B,83,225
Rafer,Alston,G,Fresno State,7/24/76,New York,NY,Bayside,NY,B,74,171
John,Amaechi,C-F,Penn State,11/26/70,Boston,MA,Toledo,OH,B,81,270
Ashraf,Amaya,F,Southern Illinois,11/23/71,Oak Park,IL,Melrose Park,IL,B,79,230
Al-Farouq,Aminu,F,Wake Forest,9/21/90,Atlanta,GA,Norcross,GA,B,81,215
Louis,Amundson,F,UNLV,12/7/82,Ventura,CA,Boulder,CO,W,81,225
Alan,Anderson,G-F,Michigan State,10/16/82,Minneapolis,MN,Minneapolis,MN,B,78,220
Chris,Andersen,F-C,Blinn CC,7/7/78,Iola,TX,Iola,TX,W,82,220
Derek,Anderson,G,Kentucky,7/18/74,Louisville,KY,Louisville,KY,B,76,194
Dwight,Anderson,G,USC,12/28/60,Dayton,OH,Dayton,OH,B,75,175
Eric,Anderson,F,Indiana,5/26/70,Chicago,IL,Chicago,IL,W,81,220
James,Anderson,G,Oklahoma State,3/25/89,El Dorado,AR,Junction City,AR,B,78,215
Jerome,Anderson,G,West Virginia,10/9/53,Mullens,WV,Mullens,WV,B,77,195
Michael,Anderson,G,Drexel,3/23/66,Philadelphia,PA,Philadelphia,PA,B,71,184
Richard,Anderson,F-C,Cal. St.-Santa Barbara,11/19/60,San Pedro,CA,Garden Grove,CA,W,82,240
Shandon,Anderson,F-G,Georgia,12/31/73,Atlanta,GA,Atlanta,GA,B,78,208
Willie,Anderson,G-F,Georgia,1/8/67,Greenville,SC,Atlanta,GA,B,79,190
Michael,Ansley,F,Alabama,2/8/67,Birmingham,AL,Birmingham,AL,B,79,225
Carmelo,Anthony,F,Syracuse,5/29/84,Brooklyn,NY,Towson,MD,B,80,220
Gilbert,Arenas,G,Arizona ,1/6/82,Tampa,FL,Van Nuys,CA,B,75,191
Trevor,Ariza,F,UCLA,6/30/85,Miami,FL,Los Angeles,CA,B,79,194
Paul,Arizin,F-G,Villanova,4/9/28,Philadelphia,PA,Philadelphia,PA,W,74,190
Brandon,Armstrong,G,Pepperdine,6/16/80,San Francisco,CA,Vallejo,CA,B,77,185
Darrell,Armstrong,G,Fayetteville State,6/22/68,Gastonia,NC,Gastonia,NC,B,72,169
Hilton,Armstrong,F-C,Connecticut,11/11/84,Peekskill,NY,Peekskill,NY,B,83,235
Jay,Arnette,G,Texas,12/19/38,Austin,TX,Austin,TX,W,74,175
Vincent,Askew,G-F,Memphis State,2/28/66,Memphis,TN,Memphis,TN,B,77,210
Keith,Askins,G-F,Alabama,12/15/67,Athens,AL,Athens,AL,B,79,197
Stacey,Augmon,G-F,UNLV,8/1/68,Pasadena,CA,Pasadena,CA,B,78,205
James,Augustine,F,Illinois,2/27/84,Midlothian,IL,Mokena,IL,W,82,235
Isaac,Austin,F-C,Arizona State,8/18/69,Gridley,CA,Oroville,CA,B,82,255
Ken,Austin,F,Rice,7/15/61,Los Angeles,CA,Los Angeles,CA,B,81,200
Anthony,Avent,F,Seton Hall,10/18/69,Rocky Mount,NC,Newark,NJ,B,81,235
William,Avery,G,Duke,8/8/79,Augusta,GA,Augusta,GA,B,74,180
Dennis,Awtrey,C,Santa Clara,2/22/48,Hollywood,CA,San Jose,CA,W,82,235
John,Bagley,G,Boston College,4/23/60,Bridgeport,CT,Bridgeport,CT,B,72,185
Carl,Bailey,C,Tuskegee,4/23/58,Birmingham,AL,Birmingham,AL,B,84,210
James,Bailey,F-C,Rutgers,5/21/57,Dublin,GA,Westwood,MA,B,81,220
Thurl,Bailey,F-C,North Carolina State,4/7/61,Washington,DC,Bladensburg,MD,B,83,215
Jimmie,Baker,F,Hawaii,12/25/53,Philadelphia,PA,Philadelphia,PA,B,81,220
LaMark,Baker,G,Ohio State,11/11/69,Dayton,OH,Dayton,OH,B,73,175
Maurice,Baker,G,Oklahoma State,7/28/79,Granite City,IL,Madison,IL,B,73,175
Renaldo,Balkman,F,South Carolina,7/14/84,Staten Island,NY,Laurinburg,NC,B,80,208
Cedric,Ball,F,UNC-Charlotte,4/16/68,Worcester,MA,Worcester,MA,B,80,210
Herschel,Baltimore,F,Penn State,6/21/21,(ht) New Castle,PA,New Castle,PA,W,76,195
Charles,Barkley,F,Auburn,2/20/63,Leeds,AL,Leeds,AL,B,77,250
Erick,Barkley,G,St. John's (NY),2/21/78,Brooklyn,NY,Middle Village,NY,B,73,177
Marvin,Barnes,F-C,Providence,7/27/52,Providence,RI,Providence,RI,B,80,210
Matt,Barnes,F,UCLA,3/9/80,Santa Clara,CA,Sacramento,CA,B,79,235
John,Barnhill,G,Tennessee State,3/20/38,Evansville,IN,Evansville,IN,B,73,170
Norton,Barnhill,G,Washington State,7/15/53,Winston-Salem,NC,Clemmons,NC,B,76,205
Andre,Barrett,G,Seton Hall,2/21/82,Bronx,NY,New York,NY,B,70,172
Ernie,Barrett,G-F,Kansas State,8/27/29,Pratt,KS,Wellington,KS,W,75,180
Dana,Barros,G,Boston College,4/13/67,Boston,MA,Westwood,MA,B,71,163
Earl,Barron,C,Memphis,8/14/81,Clarksdale,MS,Clarksdale,MS,B,84,245
Brent,Barry,G,Oregon State,12/31/71,Hempstead,NY,Concord,CA,W,78,185
Drew,Barry,G,Georgia Tech,2/17/73,Oakland,CA,Concord,CA,W,77,190
Jon,Barry,G,Georgia Tech,7/25/69,Oakland,CA,Concord,CA,W,76,195
Jerry,Baskerville,F,Temple,11/10/51,Philadelphia,PA,Philadelphia,PA,B,79,190
Brandon,Bass,F,Louisiana State,4/30/85,Baton Rouge,LA,Baton Rouge,LA,B,80,240
Maceo,Baston,F,Michigan ,5/29/75,Corsicana,TX,Dallas,TX,B,81,215
Shane,Battier,G-F,Duke,9/9/78,Birmingham,MI,Beverly Hills,MI,B,80,220
John,Battle,G,Rutgers,11/9/62,Washington,DC,Washington,DC,B,74,175
Lloyd,Batts,G-F,Cincinnati,5/9/51,Chicago,IL,Harvey,IL,B,76,185
Lonny,Baxter,F,Maryland,7/27/79,Silver Spring,MD,Rockville,MD,B,79,260
Elgin,Baylor,F,Seattle,9/16/34,Washington,DC,Washington,DC,B,77,225
Howard,Bayne,F,Tennessee,7/28/42,(ht) Dayton,OH,Dayton,OH,W,78,235
Ralph,Beard,G,Kentucky,12/2/27,Hardinsburg,KY,Louisville,KY,W,70,175
Jerome,Beasley,F,North Dakota,5/17/80,Compton,CA,Moreno Valley,CA,B,81,237
John,Beasley,F-C,Texas A&M,2/5/44,Texarkana,TX,Kildare,TX,W,81,225
Zelmo,Beaty,C,Prairie View A&M,10/25/39,Hillister,TX,Woodville,TX,B,81,225
Corey,Beck,G,Arkansas,5/27/71,Memphis,TN,Memphis,TN,B,73,190
William,Bedford,C,Memphis State,12/14/63,Memphis,TN,Memphis,TN,B,84,225
Elmer,Behnke,C,Bradley,2/3/29,Rockford,IL,Marengo,IL,W,79,210
Charlie,Bell,G,Michigan State,3/12/79,Flint,MI,Flint,MI,B,75,200
Dennis,Bell,F,Drake,6/2/51,Cincinnati,OH,Cincinnati,OH,B,77,185
Troy,Bell,G,Boston College,11/10/80,Minneapolis,MN,Richfield,MN,B,73,180
Leon,Benbow,G,Jacksonville,7/23/50,Columbia,SC,Columbia,SC,B,76,185
Jonathan,Bender,F,DePaul,1/30/81,Picayune,MS,Picayune,MS,B,83,198
Corey,Benjamin,G,Oregon State,2/24/78,Compton,CA,Fontana,CA,B,78,200
Elmer,Bennett,G,Notre Dame,2/13/70,Evanston,IL,Bellaire,TX,B,72,170
Mario,Bennett,F,Arizona State,8/1/73,Denton,TX,Denton,TX,B,81,220
Winston,Bennett,F,Kentucky,2/9/65,Louisville,KY,Louisville,KY,B,79,210
David,Benoit,F,Alabama,5/9/68,Lafayette,LA,Lafayette,LA,B,80,220
Keith,Benson,F-C,Oakland,8/13/88,Cleveland,OH,Beverly Hills,MI,B,83,230
Gary,Bergen,C,Utah,7/16/32,Independence,MO,Independence,MO,W,80,210
Larry,Bergh,F,Weber State,4/2/45,(ht) Walla Walla,WA,Walla Walla,WA,W,79.5,210
Ricky,Berry,F,San Jose State,10/6/64,Lansing,MI,Morgan Hill,CA,B,80,205
Walter,Berry,F,St. John's (NY),5/14/64,New York,NY,Bronx,NY,B,80,215
Travis,Best,G,Georgia Tech,7/12/72,Springfield,MA,Springfield,MA,B,71,182
Chauncey,Billups,G,Colorado,9/25/76,Denver,CO,Denver,CO,B,75,202
Joe,Binion,F,North Carolina A&T,3/26/61,Rochester,NY,Rochester,NY,B,80,225
Jerry,Bird,F,Kentucky,2/2/35,Corbin,KY,Corbin,KY,W,78,200
Larry,Bird,F-G,Indiana State,12/7/56,West Baden,IN,French Lick,IN,W,81,220
Otis,Birdsong,G,Houston,12/9/55,Winter Haven,FL,Winter Haven,FL,B,75,190
Cory,Blackwell,F,Wisconsin,3/27/63,Chicago,IL,Chicago,IL,B,78,210
James,Blackwell,G,Dartmouth,2/25/68,Mount Kisco,NY,Bedford,NY,B,72,190
Norman,Black,G,St. Joseph's (PA),11/12/57,Baltimore,MD,Baltimore,MD,B,77,185
George,Blaney,G,Holy Cross,11/12/39,Jersey City,NJ,Jersey City,NJ,W,73,175
Lance,Blanks,G,Texas,9/9/66,Del Rio,TX,The Woodlands,TX,B,76,190
Ricky,Blanton,F,Louisiana State,4/21/66,Miami,FL,Miami,FL,W,79,215
Andray,Blatche,F,DePaul,8/22/86,Syracuse,NY,South Kent,CT,B,83,235
Eric,Bledsoe,G,Kentucky,12/9/89,Birmingham,AL,Birmingham,AL,B,73,195
John,Block,F-C,USC,4/16/44,Los Angeles,CA,Glendale,CA,W,81,207
Corie,Blount,F,Cincinnati,1/4/69,Monrovia,CA,Monrovia,CA,B,81,240
Mark,Blount,C,Pittsburgh,11/30/75,Dobbs Ferry,NY,Mouth of Wilson,VA,B,84,230
Tony,Bobbitt,G,Cincinnati,10/22/79,Daytona,FL,Daytona Beach,FL,B,76,190
Nelson,Bobb,G,Temple,2/25/24,Philadelphia,PA,Philadelphia,PA,W,72,170
Keith,Bogans,G,Kentucky,5/12/80,Washington,DC,Hyattsville,MD,B,77,215
Walter,Bond,G,Minnesota,2/1/69,Chicago,IL,Chicago,IL,B,77,200
Dexter,Boney,G,UNLV,4/27/70,Wilmington,DE,Wilmington,DE,B,76,185
Anthony,Bonner,F,St. Louis,6/8/68,St. Louis,MO,St. Louis,MO,B,80,215
George,Bon Salle,F,Illinois,7/1/35,Chicago,IL,Chicago,IL,W,80,220
Melvin,Booker,G,Missouri,8/20/72,Pascagoula,MS,Moss Point,MS,B,73,185
Trevor,Booker,F,Clemson,11/25/87,Newberry,SC,Union,SC,B,80,240
Calvin,Booth,C,Penn State,5/7/76,Reynoldsburg,OH,Reynoldsburg,OH,B,83,230
Keith,Booth,F,Maryland,10/9/74,Baltimore,MD,Baltimore,MD,B,77,226
Bruce,Bowen,F-G,Cal. State-Fullerton,6/14/71,Merced,CA,Fresno,CA,B,79,185
Ryan,Bowen,F,Iowa,11/20/75,Fort Madison,IA,Fort Madison,IA,W,79,213
Anthony,Bowie,G-F,Oklahoma,11/9/63,Tulsa,OK,Tulsa,OK,B,78,190
Ira,Bowman,G,Pennsylvania,6/11/73,Newark,NJ,West Orange,NJ,B,77,195
Dennis,Boyd,G,Detroit,5/21/54,Portsmouth,VA,New York,NY,B,73,175
Ken,Boyd,F,Boston University,3/25/52,Frederick,MD,Frederick,MD,B,77,195
Earl,Boykins,G,Eastern Michigan,6/2/76,Cleveland,OH,Cleveland,OH,B,65,133
Harry,Boykoff,C,St. John's (NY),7/24/22,Brooklyn,NY,Brooklyn,NY,W,81.5,225
Winford,Boynes,G-F,San Francisco,5/17/57,Greenville,SC,Oklahoma City,OK,B,78,185
Cedric,Bozeman,G,UCLA,3/7/83,Los Angeles,CA,Santa Ana,CA,B,78,207
Craig,Brackins,F,Iowa State,10/9/87,Lancaster,CA,Palmdale,CA,B,82,230
Gary,Bradds,F,Ohio State,7/26/42,Jamestown,OH,Greenview,OH,W,80,210
Alonzo,Bradley,F,Texas Southern,10/16/53,Utica,MS,Utica,MS,B,78,190
Alex,Bradley,F,Villanova,10/30/59,Bradenton,FL,Long Branch,NJ,B,78,215
Avery,Bradley,G,Texas,11/26/90,"Castle AFB, Merced",CA,Tacoma,WA,B,74,180
Charles,Bradley,G,Wyoming,5/16/59,Havre De Grace,MD,Edgewood,MD,B,77,215
Dudley,Bradley,G-F,North Carolina,3/19/57,Baltimore,MD,Edgewood,MD,B,78,195
Michael,Bradley,F,Villanova,4/18/79,Worcester,MA,Worcester,MA,W,81,225
Marques,Bragg,F,Providence,3/24/70,East Orange,NJ,East Orange,NJ,B,80,230
Torraye,Braggs,F,Xavier (OH),5/15/76,Fresno,CA,Fresno,CA,B,79,237
Adrian,Branch,F-G,Maryland,11/17/63,Washington,DC,Hyattsville,MD,B,79,185
Elton,Brand,F-C,Duke,3/11/79,Cortland,NY,Peekskill,NY,B,80,260
Carl,Braun,G-F,Colgate,9/25/27,Brooklyn,NY,Garden City,NY,W,77,180
Jamison,Brewer,G,Auburn,11/19/80,East Point,GA,East Point,GA,B,76,180
Ronnie ,Brewer,G,Arkansas,3/20/85,Portland,OR,Fayetteville,AR,B,79,220
John,Brisker,F-G,Toledo,6/15/47,Detroit,MI,Hamtramck,MI,B,77,210
Allan,Bristow,F-G,Virginia Tech,8/23/51,Richmond,VA,Richmond,VA,W,79,210
David,Britton,G,Texas A&M,8/29/58,New York,NY,Bronx,NY,B,76,180
Wayman,Britt,G,Michigan,8/31/52,Wilson Mills,NC,Flint,MI,B,74,185
Gary,Brokaw,G,Notre Dame,1/11/54,New Brunswick,NJ,New Brunswick,NJ,B,76,178
Kevin,Brooks,F,Southwestern Louisiana,10/12/69,Beaufort,SC,White Castle,LA,B,78,200
MarShon,Brooks,G-F,Providence,1/26/89,Long Branch,NJ,Tucker,GA,B,77,200
Scott,Brooks,G,California-Irvine,7/31/65,French Camp,CA,Manteca,CA,W,71,165
Andre,Brown,F,DePaul,5/12/81,Chicago,IL,Chicago,IL,B,81,245
Damone,Brown,F,Syracuse,6/28/79,Buffalo,NY,Buffalo,NY,B,80,200
Devin,Brown,G-F,Texas-San Antonio,12/30/78,Salt Lake City,UT,San Antonio,TX,B,77,210
Ernest,Brown,C,Indian Hills CC,5/17/79,Bronx,NY,Bronx,NY,B,84,244
Fred,Brown,G,Iowa,8/7/48,Milwaukee,WI,Milwaukee,WI,B,75,182
George,Brown,F,Wayne State (MI),10/30/35,New Orleans,LA,Detroit,MI,B,78,190
Gerald,Brown,G,Pepperdine,7/28/75,Los Angeles,CA,Phoenix,AZ,B,76,210
Kwame,Brown,C-F,DePaul,3/10/82,Charleston,SC,Brunswick,GA,B,83,240
Lewis,Brown,C,UNLV,2/19/55,Los Angeles,CA,Los Angeles,CA,B,82,225
Marcus,Brown,G,Murray State,4/3/74,West Memphis,AR,West Memphis,AR,B,75,185
Raymond,Brown,F,Idaho,7/5/65,Atlanta,GA,Atlanta,GA,B,80,220
Randy,Brown,G,New Mexico State,5/22/68,Chicago,IL,Chicago,IL,B,74,190
Rickey,Brown,C-F,Mississippi State,8/20/58,Madison County,MS,Atlanta,GA,B,82,215
Shannon,Brown,G,Michigan State,11/29/85,Maywood,IL,Maywood,IL,B,76,205
Tierre,Brown,G,McNeese State,6/3/79,Iowa,LA,Iowa,LA,B,74,189
Stanley,Brundy,F,DePaul,11/13/67,New Orleans,LA,Los Angeles,CA,B,78,210
Brian,Brunkhorst,F,Marquette,6/12/45,Owen,WI,Abbotsford,WI,W,77.5,208
George,Bruns,G,Manhattan,8/30/46,Brooklyn,NY,Brooklyn,NY,W,72,160
Rick,Brunson,G,Temple,6/14/72,Syracuse,NY,Salem,MA,B,76,190
Emmette,Bryant,G,DePaul,11/4/38,Chicago,IL,Chicago,IL,B,73,175
Kobe,Bryant,G,DePaul,8/23/78,Philadelphia,PA,Ardmore,PA,B,78,200
Mark,Bryant,F-C,Seton Hall,4/25/65,Glen Ridge,CA,Maplewood,NJ,B,81,245
George,Bucci,G,Manhattan,7/9/53,Cornwall,NY,Newburgh,NY,W,75,200
Walter,Budko,F-C,Columbia,6/30/25,Brooklyn,NY,Brooklyn,NY,W,77,220
Rodney,Buford,G-F,Creighton,11/2/77,Milwaukee,WI,Milwaukee,WI,B,77,189
Roger,Burkman,G,Louisville,5/22/58,Indianapolis,IN,Indianapolis,IN,W,76,175
Alec,Burks,G,Colorado,7/20/91,Grandview,MO,Grandview,MO,B,78,202
Antonio,Burks,G,Memphis ,2/25/80,Memphis,TN,Memphis,TN,B,72,195
Kevin,Burleson,G,Minnesota,4/9/79,Seattle,WA,Seattle,WA,B,75,205
David,Burns,G,St. Louis,7/3/58,Dallas,TX,Dallas,TX,B,74,180
Evers,Burns,F-C,Maryland,8/24/71,Baltimore,MD,Baltimore,MD,B,80,250
Scott,Burrell,G-F,Connecticut,1/12/71,New Haven,CT,Hamden,CT,B,79,218
Willie,Burton,F-G,Minnesota,5/26/68,Detroit,MI,Detroit,MI,B,79,210
Jimmy,Butler,G-F,Marquette,9/14/89,Houston,TX,Tomball,TX,B,79,220
Mitchell,Butler,G-F,UCLA,12/15/70,Los Angeles,CA,North Hollywood,CA,B,77,210
Rasual,Butler,F,LaSalle,5/23/79,Philadelphia,PA,Philadelphia,PA,B,79,205
Derrick,Byars,G-F,Vanderbilt,4/25/84,Memphis,TN,Memphis,TN,B,79,220
Jason,Caffey,F,Alabama,6/12/73,Mobile,AL,Mobile,AL,B,80,255
Michael,Cage,F-C,San Diego State,1/28/62,West Memphis,AR,West Memphis,AR,B,81,224
Adrian,Caldwell,F-C,Lamar,7/4/66,Falls County,TX,Corpus Christi,TX,B,80,255
Joe,Caldwell,F-G,Arizona State,11/1/41,Texas City,TX,Los Angeles,CA,B,77,195
Demetrius,Calip,G,Michigan,11/18/69,Flint,MI,Flint,MI,B,73,165
Mack,Calvin,G,USC,7/27/47,Fort Worth,TX,Long Beach,CA,B,72,165
Marcus,Camby,C-F,Massachusetts,3/22/74,Hartford,CT,Hartford,CT,B,83,220
Elden,Campbell,F-C,Clemson,7/23/68,Los Angeles,CA,Inglewood,CA,B,83,215
Derrick,Caracter,F,UTEP,5/4/88,Fanwood,NJ,Elizabeth,NJ,B,81,275
Frank,Card,F,South Carolina State,12/28/44,Philadelphia,PA,Philadelphia,PA,B,79,195
Brian,Cardinal,F,Purdue,5/2/77,Tolono,IL,Tolono,IL,W,80,245
Geno,Carlisle,G,California,8/13/76,Grand Rapids,MI,Grand Rapids,MI,B,75,191
Don,Carlos,G-F,Otterbein,3/3/44,Columbus,OH,Columbus,OH,W,76.5,210
Rodney,Carney,F,Memphis,4/15/84,Memphis,TN,Indianapolis,IN,B,79,205
Antoine,Carr,F-C,Wichita State,7/23/61,Oklahoma City,OK,Wichita,KS,B,81,225
Austin,Carr,G,Notre Dame,3/10/48,Washington,DC,Washington,DC,B,76,200
Chris,Carr,G,Southern Illinois,3/12/74,Ironton,MI,Pilot Knob,MO,B,77,207
Cory,Carr,G,Texas Tech,12/5/75,Fordyce,AR,Kingsland,AR,B,75,210
Jimmy,Carruth,C-F,Virginia Tech,11/4/69,El Paso,TX,Port Arthur,TX,B,82,265
Anthony,Carter,G,Hawaii,6/16/75,Atlanta,GA,Atlanta,GA,B,73,190
George,Carter,F-G,St. Bonaventure,1/10/44,Buffalo,NY,Silver Creek,NY,B,76,210
Howard,Carter,G,Louisiana State,10/26/61,Baton Rouge,LA,Baton Rouge,LA,B,77,215
Maurice,Carter,G,Louisiana State,10/12/76,Jackson,MS,Jackson,MS,B,77,210
Jay,Carty,F,Oregon State,7/4/41,West Plains,MO,China Lake,CA,W,79.5,220
Cornelius,Cash,F,Bowling Green,3/3/52,Macon,MS,Dayton,OH,B,80,215
Harvey,Catchings,C-F,Hardin-Simmons,9/2/51,Jackson,MS,Jackson,MS,B,81,218
Terry,Catledge,F,South Alabama,8/22/63,Houston,MS,Houston,MS,B,80,220
Kelvin,Cato,C,Iowa State,8/26/74,Atlanta,GA,Decatur,GA,B,83,255
Duane,Causwell,C,Temple,5/31/68,Queens Village,NY,Bayside,NY,B,84,240
Cedric,Ceballos,F,Cal. State- Fullerton,8/2/69,Maui,HI,Compton,CA,B,78,190
John,Celestand,G,Villanova,3/6/77,Houston,TX,Piscataway,NJ,B,75,178
Lionel,Chalmers,G,Xavier,11/10/80,Albany,NY,Albany,NY,B,72,180
Mike,Champion,F,Gonzaga,4/5/64,Everett,WA,Everett,WA,W,82,230
Tyson,Chandler,F-C,DePaul,10/2/82,Hanford,CA,Compton,CA,B,84,235
Rex,Chapman,G,Kentucky,10/5/67,Bowling Green,KY,Owensboro,KY,W,76,185
Wayne,Chapman,G-F,Western Kentucky,6/15/45,Owensboro,KY,Owensboro,KY,W,77,190
Lorenzo,Charles,F,North Carolina State,11/25/63,Brooklyn,NY,Brooklyn,NY,B,79,225
Calbert,Cheaney,F-G,Indiana,7/17/71,Evansville,IN,Evansville,IN,B,79,209
Maurice,Cheeks,G,West Texas State,9/8/56,Chicago,IL,Chicago,IL,B,73,180
Derrick,Chievous,F,Missouri,7/3/67,New York,NY,Flushing,NY,B,79,195
Chris,Childs,G,Boise State,11/20/67,Bakersfield,CA,Bakersfield,CA,B,75,195
Randolph,Childress,G,Wake Forest,9/21/72,Washington,DC,Oakton,VA,B,74,188
Robert,Churchwell,G-F,Georgetown,2/20/72,South Bend,IN,Washington,DC,B,78,195
Archie,Clark,G,Minnesota,7/15/41,Conway,AR,Ecorse,MI,B,74,175
Carlos,Clark,G,Mississippi,8/10/60,Somerville,TN,Somerville,TN,B,76,209
John,Clawson,F,Michigan,5/15/44,Duluth,MN,Naperville,IL,W,76,200
Mateen,Cleaves,G,Michigan State,9/7/77,Flint,MI,Flint,MI,B,74,205
Bill,Closs,F-C,Rice,1/8/22,Edge,TX,Hearne,TX,W,77,195
Keith,Closs,C,Central Connecticut State,4/3/76,Hartford,CT,Baldwin Park,CA,B,87,212
Paul,Cloyd,G-F,Wisconsin,6/13/20,Madison,WI,Baraboo,WI,W,74,180
Richard,Coffey,F,Minnesota,9/2/65,Aurora,NC,Aurora,NC,B,78,212
John,Coker,C,Boise State,10/28/71,Richland,WA,Bremerton,WA,W,84,253
Derrick,Coleman,F,Syracuse,6/21/67,Mobile,AL,Detroit,MI,B,82,230
E.C.,Coleman,F,Houston Baptist,9/25/50,Flora,MS,Flora,MS,B,80,225
Jack,Coleman,F-C,Louisville,5/23/24,Burgin,KY,Burgin,KY,W,79,195
Norris,Coleman,F,Kansas State,9/27/61,Jacksonville,FL,Jacksonville,FL,B,80,210
Norris,Cole,G,Cleveland State,10/13/88,Dayton,OH,Dayton,OH,B,74,170
James,Collins,G,Florida State,11/5/73,Jacksonville,FL,Jacksonville,FL,B,76,196
Jason,Collier,F-C,Georgia Tech,9/8/77,Springfield,OH,Springfield,OH,W,84,260
Jarron,Collins,F,Stanford,12/2/78,Northridge,CA,N. Hollywood,CA,B,83,252
Jason,Collins,C,Stanford,12/2/78,Northridge,CA,N. Hollywood,CA,B,84,260
Sean,Colson,G,UNC - Charlotte,7/1/75,Philadelphia,PA,Philadelphia,PA,B,72,165
Glen,Combs,G,Virginia Tech,10/30/46,Hazard,KY,Carr Creek,KY,W,74,185
John,Comeaux,F,Grambling,9/15/43,Lafayette,LA,West Lake,LA,B,77,193
Dallas,Comegys,F,DePaul,8/17/64,Philadelphia,PA,Philadelphia,PA,B,81,205
Jimmy,Conner,G,Kentucky,3/20/53,Lawrenceburg,KY,Lawrenceburg,KY,W,76,190
Lester,Conner,G,Oregon State,9/17/59,Memphis,TN,Oakland,CA,B,76,180
Anthony,Cook,F-C,Arizona,3/19/67,Los Angeles,CA,Van Nuys,CA,B,81,205
Brian,Cook,F,Illinois ,12/4/80,Lincoln,IL,Lincoln,IL,B,81,234
Darwin,Cook,G,Portland,8/6/58,Los Angeles,CA,Los Angeles,CA,B,75,184
David,Cooke,F,St. Mary's (CA),9/27/63,Sacramento,CA,Sacramento,CA,B,80,230
Omar,Cook,G,St. John's (NY),1/28/82,Brooklyn,NY,Middle Village,NY,B,73,190
Michael,Cooper,G-F,New Mexico   ,4/15/56,Los Angeles,CA,Pasadena,CA,B,77,170
Hollis,Copeland,F,Rutgers,12/20/55,Trenton,NJ,Trenton,NJ,B,78,180
Lanard,Copeland,G,Georgia State,7/16/65,Atlanta,GA,Atlanta,GA,B,78,190
Tyrone,Corbin,G-F,DePaul,12/31/62,Columbia,SC,Columbia,SC,B,78,210
James,Cotton,G-F,Long Beach State,12/14/75,Los Angeles,CA,Bellflower,CA,B,77,220
John,Coughran,F,California,9/12/51,Pittsburg,CA,San Jose,CA,W,79,225
Mel,Counts,C-F,Oregon State,10/16/41,Coos Bay,OR,Coos Bay,OR,W,84,230
DeMarcus,Cousins,C,Kentucky,8/13/90,Mobile,AL,Mobile,AL,B,83,270
Marcus,Cousin,F,Houston,12/18/86,Baltimore,MD,Randallstown,MD,B,83,245
